iter	Passed	Remaining
423	1967	2672
424	1971	2667
425	1976	2662
426	1980	2657
427	1984	2652
428	1988	2647
429	1992	2641
430	1997	2636
431	2001	2631
432	2005	2626
433	2009	2621
434	2013	2615
435	2017	2610
436	2022	2605
437	2026	2600
438	2031	2595
439	2035	2590
440	2039	2585
441	2043	2579
442	2047	2574
443	2051	2569
444	2055	2563
445	2060	2559
446	2064	2554
447	2069	2549
448	2073	2544
449	2076	2538
450	2080	2533
451	2085	2528
452	2089	2522
453	2093	2518
454	2097	2512
455	2102	2507
456	2106	2502
457	2110	2497
458	2114	2492
459	2119	2487
460	2123	2482
461	2127	2477
462	2132	2473
463	2136	2467
464	2140	2462
465	2145	2458
466	2149	2453
467	2153	2448
468	2158	2443
469	2162	2438
470	2166	2433
471	2170	2428
472	2174	2423
473	2179	2418
474	2183	2413
475	2187	2408
476	2192	2403
477	2196	2398
478	2200	2393
479	2205	2389
480	2209	2383
481	2213	2379
482	2217	2373
483	2222	2369
484	2226	2364
485	2231	2359
486	2234	2354
487	2239	2349
488	2243	2344
489	2248	2340
490	2252	2335
491	2257	2330
492	2261	2325
493	2266	2321
494	2270	2315
495	2274	2311
496	2279	2307
497	2284	2302
498	2288	2297
499	2292	2292
500	2297	2287
501	2301	2283
502	2306	2278
503	2310	2273
504	2315	2269
505	2320	2265
506	2324	2260
507	2329	2255
508	2333	2250
509	2337	2245
510	2341	2240
511	2346	2236
512	2351	2231
513	2355	2227
514	2359	2222
515	2363	2216
516	2367	2212
517	2371	2206
518	2376	2202
519	2380	2197
520	2384	2192
521	2389	2187
522	2393	2182
523	2397	2177
524	2402	2173
525	2406	2168
526	2410	2163
527	2414	2158
528	2419	2154
529	2423	2148
530	2427	2143
531	2431	2138
532	2435	2133
533	2439	2128
534	2444	2124
535	2448	2120
536	2453	2115
537	2457	2110
538	2462	2105
539	2466	2100
540	2470	2096
541	2474	2091
542	2479	2086
543	2483	2082
544	2487	2077
545	2491	2071
546	2495	2067
547	2499	2061
548	2504	2057
549	2508	2052
550	2512	2047
551	2517	2043
552	2521	2038
553	2525	2033
554	2529	2028
555	2534	2023
556	2538	2018
557	2542	2014
558	2547	2010
559	2552	2005
560	2556	2000
561	2560	1995
562	2565	1990
563	2569	1986
564	2573	1981
565	2577	1976
566	2582	1971
567	2586	1966
568	2590	1962
569	2594	1957
570	2598	1952
571	2603	1947
572	2607	1943
573	2612	1938
574	2616	1933
575	2620	1928
576	2624	1924
577	2628	1918
578	2632	1914
579	2637	1909
580	2641	1904
581	2645	1900
582	2649	1895
583	2654	1890
584	2658	1886
585	2662	1881
586	2667	1876
587	2671	1871
588	2675	1866
589	2679	1862
590	2683	1857
591	2687	1852
592	2691	1847
593	2696	1842
594	2700	1838
595	2705	1833
596	2710	1829
597	2714	1824
598	2719	1820
599	2724	1816
600	2729	1811
601	2734	1807
602	2739	1803
603	2744	1799
604	2748	1794
605	2752	1789
606	2757	1785
607	2761	1780
608	2765	1775
609	2770	1771
610	2775	1766
611	2779	1762
612	2783	1757
613	2788	1752
614	2792	1748
615	2796	1743
616	2801	1738
617	2805	1734
618	2810	1729
619	2814	1724
620	2818	1720
621	2822	1715
622	2826	1710
623	2831	1705
624	2835	1701
625	2839	1696
626	2843	1691
627	2848	1687
628	2853	1682
629	2857	1678
630	2862	1673
631	2866	1668
632	2870	1664
633	2874	1659
634	2878	1654
635	2882	1649
636	2886	1644
637	2890	1640
638	2894	1635
639	2899	1630
640	2903	1625
641	2907	1621
642	2911	1616
643	2915	1611
644	2919	1607
645	2924	1602
646	2928	1597
647	2932	1592
648	2936	1587
649	2940	1583
650	2944	1578
651	2948	1573
652	2952	1569
653	2956	1564
654	2961	1559
655	2965	1555
656	2969	1550
657	2973	1545
658	2977	1540
659	2981	1536
660	2985	1531
661	2989	1526
662	2994	1521
663	2998	1517
664	3002	1512
665	3005	1507
666	3010	1502
667	3014	1498
668	3018	1493
669	3022	1488
670	3027	1484
671	3030	1479
672	3035	1474
673	3039	1469
674	3043	1465
675	3046	1460
676	3051	1455
677	3055	1451
678	3059	1446
679	3063	1441
680	3067	1437
681	3071	1432
682	3075	1427
683	3079	1422
684	3084	1418
685	3088	1413
686	3092	1409
687	3096	1404
688	3100	1399
689	3105	1395
690	3110	1390
691	3114	1386
692	3119	1381
693	3123	1377
694	3127	1372
695	3132	1368
696	3136	1363
697	3140	1358
698	3144	1354
699	3149	1349
700	3154	1345
701	3158	1340
702	3162	1336
703	3166	1331
704	3170	1326
705	3174	1321
706	3178	1317
707	3182	1312
708	3186	1307
709	3190	1303
710	3194	1298
711	3198	1293
712	3202	1289
713	3206	1284
714	3210	1279
715	3213	1274
716	3218	1270
717	3222	1265
718	3227	1261
719	3231	1256
720	3235	1251
721	3239	1247
722	3244	1242
723	3248	1238
724	3252	1233
725	3257	1229
726	3261	1224
727	3265	1220
728	3269	1215
729	3273	1210
730	3278	1206
731	3282	1201
732	3286	1197
733	3290	1192
734	3294	1187
735	3298	1183
736	3302	1178
737	3306	1174
738	3311	1169
739	3315	1164
740	3319	1160
741	3323	1155
742	3327	1151
743	3331	1146
744	3336	1141
745	3340	1137
746	3344	1132
747	3348	1128
748	3353	1123
749	3357	1119
750	3361	1114
751	3366	1110
752	3370	1105
753	3374	1100
754	3379	1096
755	3385	1092
756	3389	1087
757	3393	1083
758	3397	1078
759	3402	1074
760	3406	1069
761	3411	1065
762	3415	1060
763	3419	1056
764	3423	1051
765	3427	1047
766	3431	1042
767	3436	1038
768	3440	1033
769	3444	1028
770	3448	1024
771	3452	1019
772	3456	1015
773	3460	1010
774	3464	1005
775	3469	1001
776	3473	996
777	3477	992
778	3487	989
779	3492	985
780	3499	981
781	3505	977
782	3510	972
783	3516	968
784	3521	964
785	3526	960
786	3531	955
787	3537	951
788	3541	947
789	3547	942
790	3552	938
791	3557	934
792	3561	929
793	3566	925
794	3570	920
795	3576	916
796	3582	912
797	3587	908
798	3592	903
799	3597	899
800	3602	895
801	3607	890
802	3612	886
803	3617	881
804	3622	877
805	3627	873
806	3632	868
807	3636	864
808	3641	859
809	3646	855
810	3650	850
811	3655	846
812	3659	841
813	3664	837
814	3668	832
815	3673	828
816	3677	823
817	3682	819
818	3686	814
819	3691	810
820	3695	805
821	3700	801
822	3704	796
823	3709	792
824	3713	787
825	3717	783
826	3721	778
827	3725	773
828	3730	769
829	3735	765
830	3739	760
831	3744	756
832	3748	751
833	3753	747
834	3759	742
835	3765	738
836	3770	734
837	3774	729
838	3779	725
839	3783	720
840	3786	715
841	3791	711
842	3795	706
843	3799	702
844	3803	697
845	3807	693
846	3811	688
847	3815	683
848	3819	679
849	3823	674
850	3827	670
851	3831	665
852	3836	661
853	3840	656
854	3844	651
855	3847	647
856	3852	642
857	3856	638
858	3860	633
859	3864	629
860	3868	624
861	3872	619
862	3875	615
863	3879	610
864	3883	606
865	3888	601
866	3892	597
867	3896	592
868	3900	588
869	3905	583
870	3909	578
871	3913	574
872	3917	569
873	3921	565
874	3926	560
875	3930	556
876	3934	551
877	3938	547
878	3943	542
879	3947	538
880	3951	533
881	3956	529
882	3960	524
883	3965	520
884	3969	515
885	3973	511
886	3977	506
887	3981	502
888	3986	497
889	3990	493
890	3995	488
891	3999	484
892	4003	479
893	4007	475
894	4011	470
895	4015	466
896	4019	461
897	4023	457
898	4028	452
899	4032	448
900	4036	443
901	4040	439
902	4044	434
903	4048	429
904	4052	425
905	4056	420
906	4061	416
907	4065	411
908	4069	407
909	4073	402
910	4077	398
911	4081	393
912	4085	389
913	4090	384
914	4094	380
915	4098	375
916	4102	371
917	4106	366
918	4110	362
919	4113	357
920	4117	353
921	4121	348
922	4126	344
923	4130	339
924	4134	335
925	4138	330
926	4142	326
927	4146	321
928	4150	317
929	4154	312
930	4159	308
931	4163	303
932	4167	299
933	4171	294
934	4176	290
935	4180	285
936	4185	281
937	4189	276
938	4193	272
939	4197	267
940	4201	263
941	4205	258
942	4209	254
943	4214	250
944	4218	245
945	4222	241
946	4227	236
947	4231	232
948	4236	227
949	4241	223
950	4246	218
951	4250	214
952	4255	209
953	4259	205
954	4263	200
955	4268	196
956	4273	192
957	4277	187
958	4282	183
959	4287	178
960	4291	174
961	4295	169
962	4300	165
963	4304	160
964	4308	156
965	4313	151
966	4317	147
967	4321	142
968	4325	138
969	4330	133
970	4334	129
971	4339	124
972	4343	120
973	4348	116
974	4352	111
975	4357	107
976	4361	102
977	4365	98
978	4369	93
979	4374	89
980	4378	84
981	4382	80
982	4387	75
983	4391	71
984	4395	66
985	4400	62
986	4405	58
987	4409	53
988	4413	49
989	4418	44
990	4422	40
991	4426	35
992	4430	31
993	4435	26
994	4439	22
995	4444	17
996	4448	13
997	4452	8
998	4456	4
999	4461	0
